Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Liberia,Africa,5068618.0,1224,78.0,705.0,441.0,29.200142513583323,241.0,15.0,131234.44575338412,33044.1951465764
Uganda,Africa,7241599.935185998,1223,5.0,1102.0,116.0,29.200142513583323,27.0,0.1,288367.0,6287.0
Cyprus,Asia,1208238.0,1208,19.0,856.0,333.0,29.200142513583323,1000.0,16.0,216597.0,37174.66849640472
Georgia,Asia,3988368.0,1206,17.0,987.0,202.0,29.200142513583323,302.0,4.0,240473.0,60294.0
Burkina Faso,Africa,20954852.0,1158,54.0,961.0,143.0,29.200142513583323,55.0,3.0,131234.44575338412,33044.1951465764
Niger,Africa,24281433.0,1153,69.0,1057.0,27.0,29.200142513583323,47.0,3.0,9052.0,373.0
Togo,Africa,8296582.0,1012,22.0,697.0,293.0,27.694136204166664,122.0,3.0,45767.0,5516.0
Syria,Asia,17539600.0,999,48.0,311.0,640.0,29.200142513583323,57.0,3.0,131234.44575338412,33044.1951465764
Jamaica,North America,2962478.0,958,12.0,745.0,201.0,29.200142513583323,323.0,4.0,41840.0,14123.0
Malta,Europe,441663.0,946,9.0,670.0,267.0,29.200142513583323,2142.0,20.0,136713.0,48010.90395480226
Andorra,Europe,77278.0,944,52.0,828.0,64.0,27.694136204166664,1932.3507853403141,42.45018404907975,3750.0,48526.0
Chad,Africa,16467965.0,942,76.0,838.0,28.0,29.200142513583323,57.0,5.0,131234.44575338412,33044.1951465764
Gambia,Africa,2422754.0,935,16.0,136.0,783.0,29.200142513583323,386.0,7.0,5183.0,2139.0
Sao Tome and Principe,Africa,219544.0,878,15.0,797.0,66.0,29.200142513583323,3999.0,68.0,3079.0,14025.0
Botswana,Africa,2356075.0,804,2.0,63.0,739.0,27.694136204166664,341.0,0.8,68423.0,29041.0
Bahamas,North America,393616.0,761,14.0,91.0,656.0,27.694136204166664,1933.0,36.0,4814.0,12230.0
Vietnam,Asia,11567414.62566845,747,10.0,392.0,345.0,29.200142513583323,8.0,0.1,136227.99896144614,4952.0
Lesotho,Africa,2143943.0,742,23.0,175.0,544.0,29.200142513583323,346.0,11.0,8771.0,4091.0
Diamond Princess,Africa,6818608.806464154,712,13.0,651.0,48.0,27.694136204166664,1254.7516272257753,26.96968222941251,131234.44575338412,33044.1951465764
San Marino,Europe,33938.0,699,42.0,657.0,0.0,29.200142513583323,1932.3507853403141,42.45018404907975,6068.0,37174.66849640472
Réunion,Africa,895952.0,671,5.0,592.0,74.0,27.694136204166664,749.0,6.0,35419.0,39532.0
Channel Islands,Europe,174022.0,597,47.0,533.0,17.0,29.200142513583323,3431.0,42.45018404907975,30721.0,37174.66849640472
